pH,TDS,Turbidity,Phospate,Nitrate,Iron,COD(mg/L),Chlorine,Sodium,Class
7.546154264,719,0.26,0.005561578,7,0.352767453,421,1,11,3
7.509569888,888,2.09,0.023343293,6,0.368854826,430,3,20,3
7.579583845,709,3.22,0.00327687,6,0.318451809,425,2,10,3
7.588074894,852,2.37,0.026459449,6,0.374783057,402,1,11,3
7.527170966,637,2.89,0.005140168,6,0.367493459,418,2,11,3
7.537657288,651,1.4,0.016847801,6,0.360676269,421,3,13,3
7.550063217,706,0.55,0.000918264,7,0.3537613,392,1,2,1
7.591231357,962,0.56,0.016286378,7,0.378027271,420,4,18,3
7.540003888,855,1.32,0.012555029,6,0.405935416,394,1,14,0
7.512636887,652,2.5,0.026540294,7,0.400155375,409,4,19,3
7.523174224,652,4.18,0.022397239,8,0.303436962,394,3,9,4
7.581287508,877,3.47,0.029113461,6,0.405396345,429,3,15,3
7.526933399,732,4.11,0.008673036,6,0.309789584,397,1,2,4
7.548868975,770,1.37,0.000973473,8,0.386898902,400,1,14,3
7.59153227,848,1.58,0.027282831,8,0.318805785,408,4,17,3
7.521506599,721,2.92,0.006036178,8,0.39613282,420,4,14,3
7.581508521,733,0.92,0.007008069,8,0.331861514,416,3,1,3
7.542263718,758,1.37,0.016196498,7,0.359100389,418,4,7,3
7.524841496,658,1.49,0.004893935,7,0.394479876,415,1,14,3
7.589699964,865,1.35,0.026806353,7,0.306446426,400,4,19,3
7.504186469,962,3.93,0.003480102,8,0.308954701,405,4,17,3
7.570135335,964,2.7,0.003753821,7,0.321060565,426,3,6,3
7.571120306,927,3.35,0.005881803,8,0.409227403,414,1,18,3
7.528886689,786,3.7,0.001434653,7,0.317139325,393,1,7,1
7.558900242,893,1.45,0.029046004,7,0.322986962,408,1,1,3
7.591369486,944,1.21,0.00319732,8,0.314123473,425,3,12,3
7.583251444,894,3.54,0.009659071,7,0.311279158,426,2,7,3
7.588310746,790,1.91,0.003928609,8,0.340773872,396,4,16,1
7.553429972,747,0.37,0.005818191,6,0.300993492,412,1,4,3
7.539889597,665,2.2,0.019156114,7,0.372617647,429,4,4,3
7.577161018,678,0.74,0.004735423,6,0.361347877,397,1,19,1
7.558142797,716,4.12,0.00665753,6,0.367678442,417,4,13,3
7.589349579,772,2.91,0.011307415,6,0.343356484,425,2,1,3
7.553010824,912,1.49,0.018630168,6,0.302736527,402,2,11,3
7.573812233,702,2.05,0.003183631,7,0.338229484,429,4,16,3
7.508916169,839,1.5,0.011521597,8,0.36076371,399,4,3,4
7.562060394,873,0.42,0.01442623,8,0.371319095,422,1,6,3
7.543227141,721,1.68,0.026517638,8,0.311369966,391,2,13,4
7.548322488,824,0.65,0.009915763,6,0.322465806,403,2,17,3
7.512067327,684,3.47,0.024575374,7,0.365789925,393,4,18,4
7.522909641,772,1.05,0.021009752,6,0.32479342,396,2,19,4
7.531587356,913,0.58,0.003497541,6,0.356832791,393,3,12,2
7.52579308,739,3.72,0.014889462,8,0.328234361,430,1,18,3
7.532733401,689,1.22,0.003551328,8,0.320781125,421,4,18,3
7.593963545,806,2.02,0.0257191,7,0.322899579,403,4,6,3
7.509247343,663,3.53,0.024557592,8,0.31578838,409,1,16,3
7.531234008,834,0.16,0.008752248,7,0.366740017,429,1,13,3
7.594788897,768,2.8,0.02256681,7,0.315932751,418,1,15,3
7.541706468,807,1.87,0.029323287,7,0.349025677,392,3,15,4
7.55750485,768,3.2,0.008600098,7,0.311524476,395,4,16,4
7.573467372,883,2.61,0.0276935,8,0.335089465,410,2,3,3
7.532228536,822,0.66,0.004378505,7,0.325441822,419,1,15,3
7.535283392,761,1.52,0.009640908,7,0.308008323,411,3,12,3
7.534342297,728,0.76,0.012301356,7,0.35124566,397,4,20,4
7.50027615,823,2.09,0.001451762,8,0.370871961,396,2,18,1
7.568742437,895,1.41,0.009682762,6,0.34694516,394,4,2,4
7.58821515,954,3.65,0.019596744,8,0.349744045,426,4,20,3
7.516050543,808,3.29,0.022929668,6,0.321912894,393,1,16,4
7.599594629,790,0.25,0.00532313,6,0.300544211,406,2,19,3
7.559897013,689,2.41,1.23E-05,6,0.378974166,427,2,9,3
7.537868015,740,1.1,0.011822336,8,0.398718905,399,4,19,4
7.580012355,910,3.05,0.01041881,6,0.390415405,407,3,16,3
7.594605863,624,3.08,0.004587977,8,0.345219619,419,4,7,3
7.543329544,891,2.57,0.018264724,6,0.34958275,421,2,10,3
7.555173831,775,0.88,0.016074673,6,0.398542803,418,1,12,3
7.548164057,691,2.54,0.014619855,6,0.366769192,397,2,20,4
7.502036757,922,3.36,0.017032449,6,0.30558409,417,2,19,3
7.52810404,830,3.88,0.024848309,7,0.32198094,393,1,8,4
7.532907541,699,0.67,0.021473586,6,0.317102242,414,1,1,3
7.551111839,939,1.94,0.007644838,6,0.379684487,413,2,12,3
7.501840496,955,3.06,0.001351355,6,0.301560478,401,2,16,3
7.550843767,946,3.55,0.021305417,8,0.343232543,409,4,16,3
7.593140586,681,2.04,0.026399557,8,0.400100246,402,1,5,3
7.561386525,883,2.2,0.02408489,6,0.316779325,407,2,18,3
7.54429751,746,0.4,0.002691557,6,0.327912903,426,4,4,3
7.515271166,959,2.63,0.015395621,8,0.311305875,416,3,15,3
7.516826897,626,3.61,0.029842905,7,0.30590309,398,3,16,4
7.50227062,893,0.79,0.024263901,7,0.340519453,422,4,10,3
7.532040884,955,2.22,0.024873106,6,0.306321305,418,4,18,3
7.591384881,876,0.5,0.012937494,7,0.313763747,390,4,10,4
7.591669813,628,1.48,0.026968181,7,0.367273059,394,4,16,4
7.599088031,707,1.31,0.003343635,8,0.372185109,424,3,16,3
7.515523727,661,0.52,0.010153219,8,0.391422014,423,4,6,3
7.597056426,737,4.16,0.005896361,7,0.311695741,404,4,10,3
7.59769526,777,3.37,0.019910992,7,0.402550745,390,4,16,0
7.58554973,739,3.59,0.00228042,6,0.322460588,403,2,3,3
7.567180541,818,2.76,0.009145455,8,0.352334965,392,2,5,4
7.515478407,723,1.59,0.014714529,8,0.383226583,407,4,3,3
7.501354838,769,1.79,0.026742234,6,0.320252322,401,4,20,3
7.535009878,858,2.38,0.029735208,7,0.316834895,394,1,18,4
7.562670277,763,2.85,0.025472566,6,0.332920488,428,3,2,3
7.543614667,874,0.54,0.023144923,7,0.314437069,402,1,12,3
7.565972396,833,0.97,0.013753515,7,0.390603665,418,4,16,3
7.534370353,918,1.07,0.011924666,8,0.348616163,397,1,11,2
7.578167733,685,2.69,0.016775596,7,0.353679501,401,3,5,3
7.545134316,975,0.34,0.026849245,8,0.376982959,427,2,12,3
7.557243886,762,2.63,0.007191092,7,0.350639019,416,2,5,3
7.588719997,821,3.45,0.021732109,6,0.344805935,406,2,19,3
7.540083081,900,1.59,0.028440446,8,0.371938732,391,4,12,2
7.524045491,689,3.37,0.025564679,7,0.310865394,411,4,19,3
7.569663438,725,1.12,0.028345398,7,0.314061023,427,1,5,3
7.562260626,933,3.35,0.017406233,6,0.375142566,430,4,13,3
7.585297759,752,1.73,0.008433226,8,0.31856672,392,2,9,4
7.54399752,864,1.04,0.024362702,6,0.30626243,427,3,16,3
7.539997272,915,2.9,0.014625468,7,0.369722816,398,3,7,2
7.504077728,742,0.9,0.025971637,7,0.315870236,394,3,5,4
7.576654691,745,3.29,0.006360064,8,0.37913001,411,4,15,3
7.562252793,879,2.83,0.003650648,7,0.37305538,422,2,12,3
7.588528872,734,3.37,0.010175371,8,0.393319449,396,1,2,4
7.531648726,635,2.09,0.010237824,6,0.39997115,402,1,19,3
7.543363537,650,2.2,0.01621954,7,0.369927777,398,1,14,4
7.598039578,879,2.3,0.018583198,8,0.338216122,405,1,2,3
7.535620062,629,0.63,0.021260817,7,0.335709548,426,2,6,3
7.514218107,899,3.26,0.013818895,6,0.398877666,410,1,9,3
7.531981628,894,2.02,0.029553992,6,0.302308352,396,2,4,4
7.58455951,768,4.17,0.005773339,6,0.391023857,415,4,15,3
7.557690536,686,2.21,0.022941497,8,0.387822907,426,2,2,3
7.531167289,631,3.8,0.023409779,7,0.407847227,407,1,5,3
7.55614224,801,1.41,0.005172198,7,0.317203373,413,1,12,3
7.581322341,943,1.9,0.025064782,8,0.385437097,398,2,16,2
7.557581103,784,4.14,0.023352287,7,0.393800335,418,4,11,3
7.562483141,865,0.24,0.013800957,6,0.396301413,417,1,14,3
7.539555108,772,1.22,0.002519568,6,0.32447794,401,4,17,3
7.556470017,777,3.42,0.026944966,8,0.323700948,418,1,2,3
7.522904993,734,2.42,0.018675204,7,0.30484071,420,3,19,3
7.540554363,729,0.91,0.002332454,8,0.350032112,413,2,4,3
7.537381148,666,3.22,0.001407731,8,0.300245923,405,3,2,3
7.593272208,704,2.22,0.004438807,6,0.325168674,412,2,7,3
7.544097011,974,2.5,0.028761659,8,0.373308425,428,4,2,3
7.565491267,820,2.34,0.020213161,8,0.350202872,406,1,4,3
7.507450248,938,1.77,0.017725842,7,0.341772519,399,4,1,2
7.56632444,941,3.86,0.026657868,7,0.312973948,404,2,8,3
7.558807184,897,0.65,0.012900894,7,0.379044513,430,1,6,3
7.571248494,710,1.75,0.012619378,8,0.352541246,391,3,20,4
7.575522317,977,3.55,0.018953613,8,0.315556452,412,3,17,3
7.51872882,917,3.58,0.007428846,6,0.367088875,396,3,15,2
7.594372222,745,0.94,0.003625188,7,0.388843788,418,1,16,3
7.584055856,954,2.5,0.015867916,6,0.312847157,420,4,12,3
7.548972727,859,3.74,0.014764569,6,0.30154023,407,2,2,3
7.523511401,649,2.13,0.014641733,7,0.39948547,400,4,20,3
7.538716285,955,2.67,0.012849028,7,0.371221966,408,1,2,3
7.518094647,858,2.98,0.024994217,8,0.37258468,405,1,9,3
7.574346418,637,4.08,0.005777668,8,0.403682758,410,2,12,3
7.525066685,882,0.19,0.026534843,7,0.395412159,408,2,11,3
7.558049236,938,1.98,0.022727911,6,0.355480394,405,2,14,3
7.52027877,849,0.8,0.010244323,6,0.357283945,426,1,16,3
7.52823488,928,3.11,0.010805154,6,0.336288079,400,2,15,3
7.5939365,770,0.71,0.029421324,6,0.400484,423,3,7,3
7.580733255,735,2.9,0.026158401,6,0.351468128,421,1,19,3
7.521903068,912,0.44,0.029046557,6,0.344924805,397,4,15,2
7.566984222,698,0.24,0.001459819,6,0.354697554,409,1,9,3
7.566997316,900,2.98,0.012035255,6,0.327266983,412,4,19,3
7.526572693,814,2.73,0.018699005,6,0.400769398,409,1,5,3
7.583411874,877,3.02,0.020858323,6,0.302085109,416,4,17,3
7.596195909,706,4,0.019061658,6,0.363880333,401,4,19,3
7.534088426,748,4.08,0.011339516,7,0.387569046,405,3,12,3
7.509969254,851,3.07,0.010024511,8,0.362645868,396,4,12,4
7.572948709,767,0.9,0.012581574,8,0.319433606,417,2,14,3
7.548457326,647,2.79,0.025703021,6,0.344981215,424,3,2,3
7.574171852,697,1.12,0.013943107,7,0.400058625,424,2,2,3
7.598228454,844,3.98,0.019155445,7,0.306035099,414,1,18,3
7.543380634,936,0.39,0.000112616,7,0.327009139,404,2,7,3
7.511372396,881,0.74,0.017917254,6,0.400277778,397,4,8,0
7.523084825,786,1.58,0.008592624,8,0.359453711,401,2,14,3
7.592456269,925,3.94,0.005101332,6,0.314382852,405,4,9,3
7.534757194,868,0.66,0.006939223,7,0.37882899,397,2,6,4
7.567796133,723,1.73,0.02497477,7,0.406112617,424,4,18,3
7.561278407,951,2.08,0.02360473,7,0.397459092,401,3,12,3
7.557947456,673,3.14,0.01782688,6,0.347951584,407,3,16,3
7.547865627,652,0.64,0.029583377,7,0.386110032,405,4,15,3
7.566570325,710,0.75,0.025966429,7,0.371146567,394,2,11,4
7.566250014,942,3.79,0.026234776,7,0.354707486,403,4,19,3
7.573196246,742,1.63,0.019682166,6,0.317985823,425,4,12,3
7.589445021,838,4.19,0.020479623,6,0.327642948,396,2,8,4
7.549639154,848,3.94,0.016365944,6,0.332588477,412,2,8,3
7.563455558,903,2.42,0.008255117,6,0.363736314,397,4,13,2
7.568261751,754,1.79,0.004462916,7,0.356766869,406,2,11,3
7.564622782,624,3.56,0.025309259,7,0.389213654,395,2,16,4
7.597042639,840,3.59,0.026050504,8,0.364952773,426,1,18,3
7.507332274,873,2.84,0.007494729,6,0.355515458,403,3,20,3
7.586650985,723,0.89,0.012436258,8,0.318069627,400,4,20,3
7.598915986,739,0.46,0.024978989,8,0.398946438,428,1,4,3
7.544295817,908,1.64,0.00818631,6,0.367250426,401,1,2,3
7.541801029,714,0.46,0.005746737,7,0.37027608,394,4,4,4
7.563948334,721,3.2,0.015216628,7,0.303354721,409,1,9,3
7.59506794,701,3.71,0.007107117,7,0.348131426,396,1,15,4
7.581314062,933,3.19,0.018592944,7,0.346823597,417,1,2,3
7.536522666,832,1.55,0.000394554,6,0.404357909,406,1,7,3
7.516200237,818,0.72,0.018214748,6,0.390471838,400,4,5,3
7.582031741,766,2.42,0.001049694,7,0.40836756,408,1,3,3
7.520575463,880,3.8,0.007713533,6,0.323346165,430,3,12,3
7.540310301,889,2.07,0.018678244,6,0.39420164,401,1,1,3
7.55666786,827,2.26,0.003687935,8,0.409035164,430,3,15,3
7.506176747,728,3.76,0.026857667,8,0.306501528,427,4,8,3
7.52645265,763,2.7,0.028188056,8,0.312215782,424,2,19,3
7.544271424,672,1.28,0.013728738,7,0.354820824,398,4,14,4
7.553592265,756,1.47,0.02412098,6,0.389843375,400,3,3,3
7.528107731,861,3.88,0.006167523,7,0.358683194,427,4,8,3
7.51837526,830,1.63,0.019421759,6,0.370546609,418,3,14,3
7.510136269,765,0.17,0.002840265,7,0.309265328,414,1,18,3
7.540822781,962,2.99,0.002256362,6,0.35912379,408,1,20,3
7.511445362,924,4.03,0.027208266,6,0.373526227,427,4,4,3
7.548840357,773,1.7,0.005315256,8,0.363910894,428,4,19,3
7.576205225,810,1.94,0.018531354,8,0.306556655,417,3,13,3
7.558070255,968,1.75,0.007526441,7,0.377900342,410,3,20,3
7.509096097,907,2.95,0.02924,8,0.303128345,401,3,5,3
7.541302785,778,2.21,0.013012806,8,0.364296884,407,3,9,3
7.534790207,674,1.06,0.022041176,6,0.398485085,393,3,4,4
7.589445277,623,0.46,0.00500035,8,0.372638421,406,2,4,3
7.536816182,863,0.62,0.029278442,7,0.371515085,423,2,6,3
7.530195624,725,4.16,0.017361771,7,0.352774962,403,3,18,3
7.534649714,943,3.05,0.001993332,7,0.405843931,397,2,8,2
7.582303731,921,1.2,0.019599877,7,0.313040137,427,3,4,3
7.583592663,838,0.93,0.02066024,6,0.401531979,406,2,1,3
7.536295605,922,3.59,0.000596283,6,0.361740438,419,4,18,3
7.534760077,977,1.29,0.007265592,8,0.364381572,392,1,14,2
7.540546842,720,1.86,0.01052897,7,0.356014406,406,2,11,3
7.519012047,729,1.5,0.02877072,7,0.391108972,412,2,6,3
7.578233111,839,3.86,0.02259263,8,0.361651894,403,3,20,3
7.522194085,763,0.51,0.01110843,7,0.343289954,412,4,2,3
7.527942247,901,0.67,0.001449599,7,0.39525,413,2,9,3
7.526521889,978,3.71,0.013742101,8,0.34175916,409,1,19,3
7.55973869,688,1.95,0.029090906,7,0.33246717,421,4,1,3
7.562376622,678,2.61,0.002910225,7,0.341282962,424,3,17,3
7.596757887,651,3.3,0.014269698,7,0.404011446,423,4,13,3
7.590311656,953,0.32,0.013554052,8,0.364139827,429,4,6,3
7.568433523,882,4.01,0.016587033,6,0.345412896,401,4,8,3
7.527647606,794,4.19,0.005696294,6,0.396981137,429,1,11,3
7.509656953,638,2.11,0.01496578,7,0.383025,391,3,1,4
7.575975943,691,1.01,0.011579974,7,0.30524094,425,1,17,3
7.550317412,834,3.62,0.017718095,8,0.314877787,424,2,2,3
7.596807984,787,2.69,0.023033231,6,0.362977534,408,1,5,3
7.540954447,679,3.54,0.024783462,8,0.407701277,399,1,6,0
7.518261392,634,2.51,0.012727909,6,0.338088607,423,3,14,3
7.521963777,978,3.5,0.029020483,7,0.315273982,401,2,6,3
7.586974953,789,1.33,0.015577677,8,0.353883237,396,2,14,4
7.597270715,703,0.16,0.012687505,7,0.339816356,428,4,2,3
7.52989499,786,3.79,0.006286456,6,0.381228673,396,2,4,4
7.514326174,741,3.01,0.001276985,8,0.344439188,393,1,8,1
7.575440557,804,1.85,0.026231532,7,0.323638769,400,3,8,3
7.594494735,953,0.39,0.021251496,7,0.303191182,403,2,8,3
7.518653375,961,2.63,0.016998569,6,0.407260995,394,4,10,2
7.555482844,921,3.42,0.01103136,8,0.368135013,400,2,10,3
7.540951686,815,2.42,0.010401068,8,0.382065494,421,3,3,3
7.574837144,673,0.47,0.013853581,7,0.380803426,402,1,15,3
7.537407535,888,4.15,0.008816698,6,0.33684522,420,1,12,3
7.53513726,859,1.92,0.023760829,7,0.409940608,410,4,3,3
7.568723896,622,1.24,0.001153582,6,0.331525095,406,3,1,3
7.589108589,877,1.35,0.026801056,7,0.380841613,400,1,1,3
7.550880098,656,1.04,0.027797141,6,0.340270795,413,2,5,3
7.585922477,802,0.84,0.014512574,6,0.350479892,418,4,4,3
7.589942115,729,3.68,0.009232258,6,0.341517539,425,1,5,3
7.528853809,961,3.56,0.021641548,7,0.380589513,396,2,4,2
7.574773401,851,0.52,0.007289189,8,0.38069879,398,4,9,4
7.528524742,638,1.51,0.026822309,7,0.311628787,427,4,18,3
7.564657649,824,3.78,0.005224091,8,0.324502767,395,2,10,4
7.521074734,963,1.92,0.006222707,6,0.402487665,406,3,11,3
7.563965008,818,0.51,0.020649815,8,0.395608307,395,1,12,4
7.529766514,919,3.19,0.001910724,6,0.327845747,396,4,16,2
7.509565091,772,3.07,0.001577193,6,0.378541025,397,1,5,1
7.524257821,832,3.98,0.003072658,8,0.304236003,400,1,9,3
7.501938069,659,1.02,5.22E-05,6,0.367523149,397,3,17,1
7.534345555,845,2.79,0.015081963,8,0.406698465,404,1,1,3
7.568479395,810,2.99,0.027746658,7,0.402109698,423,1,2,3
7.593714199,629,2.71,0.007307582,8,0.3801071,427,1,5,3
7.542340924,956,2.83,0.026212948,6,0.344585559,412,1,19,3
7.584283677,894,2.15,0.00161551,8,0.319628068,421,1,4,3
7.5433229,936,0.76,0.004179467,8,0.364523805,418,3,9,3
7.556074168,891,4.14,0.028204602,7,0.395714256,390,1,5,4
7.589567902,850,2.84,0.024851415,7,0.39513256,412,2,16,3
7.523780604,777,3.97,0.025311429,6,0.396689372,397,2,1,4
7.542924604,823,0.29,0.007554695,8,0.370561285,402,3,4,3
7.534435598,705,1.14,0.01723382,8,0.361772974,424,2,8,3
7.528925283,874,3.19,0.018057489,7,0.314055237,412,1,8,3
7.569711955,698,1.04,0.023074371,7,0.34299984,418,4,7,3
7.577548376,859,1.67,0.005702395,7,0.397933987,414,1,10,3
7.585408465,642,0.61,0.004859283,6,0.392008563,393,3,11,1
7.543882789,946,1.24,0.027956507,7,0.386499672,420,2,19,3
7.509351981,906,0.19,0.027645018,8,0.344738135,402,1,20,3
7.537682295,953,0.34,0.000640081,7,0.373814203,406,4,17,3
7.502951042,767,0.29,0.02343694,7,0.340867224,402,4,7,3
7.575558005,795,1,0.028814072,7,0.352334773,420,2,12,3
7.598062437,834,1.63,0.012657905,7,0.35767114,391,1,16,4
7.561654075,824,0.66,0.027431544,8,0.395942141,413,4,5,3
7.590155723,675,0.8,0.017790127,7,0.338757526,408,2,13,3
7.569945022,880,4.06,0.006447262,8,0.386146744,414,4,5,3
7.510396274,776,4.17,0.010797826,8,0.31906962,396,2,1,4
7.576988436,843,1.53,0.002133208,7,0.360088678,406,2,17,3
7.552558601,785,0.93,0.002410591,6,0.341228214,416,2,4,3
7.557130766,636,0.58,0.01701742,6,0.405710213,411,3,17,3
7.549635082,968,0.33,0.025522211,6,0.369824642,404,4,11,3
7.542781647,859,4.1,0.013883111,8,0.361198791,424,3,12,3
7.529765739,902,0.9,0.019933506,7,0.313677033,428,1,17,3
7.502435223,726,2.94,0.023968273,6,0.395132622,408,1,12,3
7.587429018,886,2.78,0.012341229,6,0.309904029,393,1,15,4
7.570816374,666,2,0.015223808,7,0.375501937,427,1,5,3
7.598813568,786,3.07,0.017297957,8,0.333692182,420,1,12,3
7.527858387,734,1.61,0.002631513,8,0.387072757,429,4,10,3
7.546642263,790,0.42,0.015048128,8,0.408041976,416,2,7,3
7.543267112,764,1.42,0.006638324,8,0.353080753,417,1,1,3
7.552875603,691,2.93,0.028465347,6,0.402078816,428,1,15,3
7.572725455,712,0.4,0.013478986,8,0.345063317,393,4,14,4
7.571225469,972,4.01,0.022608622,7,0.314424436,421,1,19,3
7.554357057,921,3.93,0.003527002,6,0.405653938,428,1,17,3
7.537824792,792,1.07,0.004743595,6,0.337356625,406,3,16,3
7.536141441,855,1.3,0.006186613,8,0.354975581,421,3,20,3
7.591041795,636,0.49,0.00340887,7,0.354701861,409,4,4,3
7.577004462,887,0.42,0.028589737,8,0.353408103,394,3,9,4
7.528845661,857,1.86,0.000116652,8,0.402634183,393,2,7,1
7.59034623,707,2.08,0.016267228,6,0.347073535,405,2,19,3
7.570249112,743,2.3,0.014202305,8,0.320364522,402,4,20,3
7.575552172,737,1.27,0.024201639,7,0.372125022,419,1,12,3
